bv2022;nb_docteurs_pondere;population_2023_bv
50615;0.0;23313.0
50639;0.0;21096.0
51030;1.0;7173.0
51108;4.033333333;77003.0
51217;0.5;16487.0
51230;5.0;56101.0
51248;0.0;4184.0
51250;0.0;18427.0
51380;0.0;8153.0
51388;0.0;9355.0
51454;20.266666664;288853.0
51507;1.0;17062.0
51535;0.0;16479.0
51559;0.0;7110.0
51612;0.0;8114.0
51649;1.666666666;34191.0
52060;0.0;5800.0
52093;0.0;6335.0
52121;3.333333332;42276.0
52197;0.0;3739.0
52250;0.0;14108.0
52269;0.333333333;17345.0
52331;0.0;7357.0
52353;0.0;13839.0
52448;1.333333332;48975.0
52550;0.0;7420.0
53003;0.0;3828.0
53062;2.0;33654.0
53077;0.0;6746.0
53084;0.0;9070.0
53096;0.0;15579.0
53097;0.0;24598.0
53107;0.0;5523.0
53130;9.166666666;116258.0
53147;2.0;33342.0
53152;1.0;7499.0
53185;0.0;6224.0
53271;0.0;5516.0
54039;0.0;8767.0
54076;0.0;9302.0
54099;0.0;33667.0
54159;0.0;30207.0
54273;0.0;23554.0
54280;1.0;39010.0
54322;0.0;19374.0
54323;0.5;62837.0
54328;3.0;21101.0
54329;1.0;38846.0
54395;34.416666664;306548.0
54397;0.0;19559.0
54431;2.333333333;47527.0
54528;3.5;51613.0
54563;0.0;8873.0
54580;1.3333333330000001;41715.0
55029;1.6666666669999999;30957.0
55122;1.0;17618.0
55181;0.0;5954.0
55291;0.0;12677.0
55351;0.0;5809.0
55427;0.0;13785.0
55463;0.0;13202.0
55502;0.0;10053.0
55533;0.0;3969.0
55545;0.666666666;42943.0
56001;0.0;9065.0
56003;0.0;5835.0
56007;2.6666666660000002;56272.0
56010;0.333333333;18378.0
56013;0.0;13505.0
56034;0.0;8324.0
56053;0.0;17771.0
56057;0.0;11256.0
56061;0.0;13063.0
56066;1.25;5400.0
56067;0.0;9250.0
56073;0.0;5998.0
56075;0.0;9603.0
56078;0.0;12338.0
56083;2.249999999;45494.0
56091;0.0;10886.0
56098;0.0;30469.0
56117;1.166666666;36507.0
56121;15.83333333;107018.0
56124;0.0;17819.0
56127;0.0;5805.0
56143;0.0;15000.0
56147;0.666666667;13156.0
56152;0.333333334;5607.0
56164;0.0;6790.0
56165;2.0;25655.0
56166;0.0;20936.0
56169;0.0;6096.0
56177;0.0;14254.0
56178;3.8999999990000003;36564.0
56184;3.533333332;22070.0
56186;2.333333333;7543.0
56193;1.0;12566.0
56240;0.5;15733.0
56251;0.0;16319.0
56260;16.23333333;96154.0
57019;2.5;64906.0
57089;0.5;20159.0
57097;0.0;12637.0
57106;1.0;19153.0
57132;0.0;9828.0
57160;1.0;31019.0
57177;0.0;9640.0
57207;0.0;16063.0
57209;0.0;15264.0
57227;5.0;59548.0
57240;0.0;25973.0
57269;0.0;18357.0
57323;0.0;18377.0
57413;0.0;6447.0
57443;0.0;10702.0
57463;23.916666665;286482.0
57483;0.0;15327.0
57540;1.0;13661.0
57556;0.0;10912.0
57572;0.0;10292.0
57589;0.0;10320.0
57606;2.6666666660000002;35955.0
57628;0.0;12643.0
57630;0.0;55389.0
